,imdb_id,title,mpaa_rating,runtime,genre,star_rating
7417,tt1618447,Un amour de jeunesse,Not Rated,110 min,"Drama, Romance",6.6
7418,tt5057982,Di san zhong ai qing,NaN,113 min,"Drama, Romance",5.4
7419,tt1633217,La Melodie,NaN,102 min,"Comedy, Drama, Music",6.5
7420,tt7126710,Triggered,Not Rated,114 min,"Comedy, Horror, Thriller",6.0
7421,tt6131712,Kuso,Not Rated,94 min,"Animation, Comedy, Drama",5.0
7422,tt7068878,Urban Country,TV-PG,88 min,"Comedy, Drama, Family",4.7
7423,tt3417756,Musarañas,Not Rated,91 min,"Drama, Horror, Thriller",6.7
7424,tt2787570,Den allvarsamma leken,NaN,115 min,"Drama, Romance",6.4
7425,tt8170902,Qué León,PG-13,93 min,"Comedy, Romance",6.1
7426,tt2905772,Sen Aydinlatirsin Geceyi,NaN,107 min,"Drama, Fantasy, Romance",7.9
7427,tt10703752,Balloon,NaN,102 min,Drama,6.8
7428,tt5255524,Traded,Not Rated,98 min,"Action, Western",5.1
7429,tt6175486,Demons,Not Rated,105 min,Horror,6.2
7430,tt2088888,SafeWord,Not Rated,79 min,"Horror, Thriller",3.4
7431,tt1183911,Mr. Nice,NaN,121 min,"Biography, Comedy, Crime",6.4
7432,tt6904062,Ri-eol,NaN,137 min,Action,4.8
7433,tt2989350,Dare to Be Wild,TV-PG,100 min,"Biography, Drama, Romance",6.4
7434,tt2417650,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,R,80 min,Comedy,2.5
7435,tt10151260,Welad Rizk 2,NaN,103 min,"Action, Comedy, Crime",7.3
7436,tt3756046,The Bloom of Yesterday,NaN,125 min,"Comedy, Drama, Romance",6.6
7437,tt1268987,Operation: Endgame,R,87 min,"Action, Comedy",4.9
7438,tt1883121,404: Error Not Found,Not Rated,121 min,"Drama, Mystery, Thriller",7.2
7439,tt9005662,Excursion,NaN,85 min,"Mystery, Sci-Fi, Thriller",7.2
7440,tt3067274,The Editor,Not Rated,95 min,"Comedy, Crime, Horror",6.1
7441,tt3194388,Six Hot Chicks in a Warehouse,NaN,93 min,"Action, Comedy, Horror",2.1
7442,tt2106529,Lust for Love,Not Rated,85 min,"Comedy, Romance",5.7
7443,tt3280916,The Atticus Institute,Not Rated,83 min,Horror,5.5
7444,tt2318405,Belyy tigr,Not Rated,104 min,"Action, Adventure, Fantasy",6.1
7445,tt1396523,Revenge of the Green Dragons,R,94 min,"Action, Crime, Drama",5.3
7446,tt6728390,Gekijouban Kuroko no basuke: Last Game,NaN,91 min,"Animation, Drama, Sport",7.9
7447,tt8134358,Magari,NaN,104 min,Drama,6.4
7448,tt1540400,Bonded by Blood,NaN,96 min,"Crime, Drama, Thriller",5.5
7449,tt5617898,This Is Us,NaN,90 min,Drama,8.4
7450,tt4412528,Two Lovers and a Bear,R,96 min,"Adventure, Drama, Romance",6.1
7451,tt5002394,Ilegitim,NaN,89 min,Drama,6.9
7452,tt7217298,Reinos,NaN,81 min,Drama,5.1
7453,tt8426854,Jalebi,Not Rated,112 min,"Drama, Romance",6.3
7454,tt8669356,Jeanne,NaN,137 min,Drama,5.7
7455,tt8726116,Huan tu,NaN,95 min,"Drama, Mystery",6.3
7456,tt2268573,Stranded,Not Rated,84 min,"Horror, Sci-Fi",3.5
7457,tt7498092,Ellipse,NaN,76 min,Sci-Fi,2.5
7458,tt8587142,X&Y,NaN,112 min,Drama,6.0
7459,tt5735464,Master,Not Rated,143 min,"Action, Crime",6.6
